Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
2005,6,Carbon monoxide,19576.7,220151,697105,99.44761709
2005,8,Carbon monoxide,4109.6,46882,117908,99.75228426
2005,9,Carbon monoxide,1278.8,14540,26255,99.72196901
2005,10,Carbon monoxide,414.6,4654,17400,99.72489684
2005,11,Carbon monoxide,812.5,9264,17413,99.93663912
2005,12,Carbon monoxide,5401.6,61388,177743,99.63567873
2005,13,Carbon monoxide,718.4,8231,25871,99.62569316
2005,15,Carbon monoxide,521.1,5889,20965,99.49202733
2005,16,Carbon monoxide,972.3,11070,17378,99.87310345
2005,17,Carbon monoxide,2383.9,27239,68627,99.80593368
2005,18,Carbon monoxide,2069.1,23501,67861,99.80727144
2005,19,Carbon monoxide,871.9,9604,44539,99.8267886
2005,20,Carbon monoxide,931.5,10499,32464,99.75368732
2005,21,Carbon monoxide,552.3,6264,17312,99.77040111
2005,22,Carbon monoxide,672.6,7632,22137,99.71567568
2005,23,Carbon monoxide,132.5,1331,11109,98.48085106
2005,24,Carbon monoxide,418.2,4718,16495,99.7532656
2005,25,Carbon monoxide,968.8,10849,42141,99.42582106
2005,26,Carbon monoxide,1259.5,13984,64534,99.59074074
2005,27,Carbon monoxide,1350.8,14981,60082,99.81698565
2005,28,Carbon monoxide,220.5,2499,8556,99.58100559
2005,29,Carbon monoxide,1021.1,11510,37241,99.85263835
2005,30,Carbon monoxide,1954.3,22175,53970,99.6804078
2005,31,Carbon monoxide,636,7255,19400,99.79382716
2005,32,Carbon monoxide,5678.8,64470,131327,99.85291971
2005,33,Carbon monoxide,536.7,6108,16848,99.71590909
2005,34,Carbon monoxide,3224.6,36662,92665,99.76847545
2005,35,Carbon monoxide,2073.2,23347,84012,99.67226651
2005,36,Carbon monoxide,2403.9,27157,93746,99.36555584
2005,37,Carbon monoxide,1578.7,17873,47199,99.4759737
2005,39,Carbon monoxide,3578.6,40787,126157,99.70694234
2005,40,Carbon monoxide,753.8,8141,42164,99.65002836
2005,41,Carbon monoxide,3089.1,35174,57820,99.84003315
2005,42,Carbon monoxide,4332.3,48095,206590,99.8013913
2005,44,Carbon monoxide,422.7,4791,14281,97.87006579
2005,45,Carbon monoxide,633.9,6969,31401,99.42021277
2005,47,Carbon monoxide,1486.6,16919,43138,99.52325581
2005,48,Carbon monoxide,4922.7,55661,177077,99.65140465
2005,49,Carbon monoxide,2037.3,23241,44757,99.83190578
2005,50,Carbon monoxide,405.5,4603,16254,99.01315789
2005,51,Carbon monoxide,2112.8,23834,86066,99.75132128
2005,53,Carbon monoxide,4363.6,49656,79035,99.88201395
